Matricula,CPF,Nome,Nota,Idade,Curso,Cidade
A0000000,554.438.135-60,Iolanda Prado Palmer,65.92,18,Odontologia,Jesuânia
A0000001,325.737.558-19,Carmelo Amazonas Ross,90.0,17,Sociologia,Ferraz de Vasconcelos
A0000002,850.121.796-41,Fausto Rocha Canhoto,41.07,28,Nutrição,São Carlos
A0000003,616.170.174-00,Cleonice Magalhães Leonard,27.1,27,Meteorologia,Boituva
A0000004,844.849.218-80,Ari Cirillo João,58.58,29,Engenharia Civil,Grajaú
A0000005,676.168.679-28,Alejandro Hanson Adauto,26.83,26,Química,Taboão da Serra
A0000006,957.998.119-17,Richard Camacho Martin,55.69,17,Engenharia Florestal,Pancas
A0000007,000.127.646-80,Evaldo Aguirre Branco,83.18,27,Psicologia,Paranaguá
A0000008,170.848.300-49,Scott Amigão Pimentel,48.05,20,Farmácia,Votorantim
A0000009,361.749.110-39,Ignacio Neal Margot,56.5,30,Engenharia de Software,Perus
A0000010,856.068.506-56,Damiana Armando Palmer,86.26,30,Medicina Veterinária,Guarapuava
A0000011,364.538.200-30,Gary Underwood Mason,30.87,29,Nutrição,Liberdade
A0000012,720.135.779-40,Ezequiel Ernesto Alencar,77.11,21,Publicidade e Propaganda,Marília
A0000013,934.248.393-37,Eida Agra Barrio,94.74,22,Matemática,Inhaúma
A0000014,913.307.724-07,Gema Saraiva Crawford,63.87,18,Veterinária,Campos Gerais
A0000015,718.468.523-74,Márcio Lee Wood,63.2,25,Design de Moda,Tupã
A0000016,893.111.011-17,Cleonice Leblon Granito,35.66,23,Economia,Francisco Morato
A0000017,849.095.980-30,Manuel Manoel Cotton,79.96,22,Contabilidade,Brasilândia
A0000018,869.655.336-50,Batista Marília Careiro,39.4,24,Engenharia Ambiental,Porto Feliz
A0000019,796.771.435-06,Norberto Balduino Williams,86.87,30,Engenharia Química,Poços de Caldas
A0000020,681.600.064-11,Altair Navegantes Foster,42.19,25,Administração,Florestal
A0000021,729.905.294-62,Jean Sparks Nabuco,83.74,17,Contabilidade,Dourados
A0000022,926.147.925-19,Alfeu Mitchell Knox,37.79,20,Meteorologia,Pancas
A0000023,853.765.141-96,Eduarda Taylor Dutra,64.18,30,Engenharia de Software,Cascavel
A0000024,218.793.203-63,Paula Campos French,61.09,20,Enfermagem,Aricanduva
A0000025,658.964.478-09,Louis Caco Constantino,27.27,29,Design Gráfico,Curvelo
A0000026,893.761.793-58,Guiomar Dyer Li,73.58,30,Engenharia,Juquitiba
A0000027,004.609.309-58,Paul Holmes Astolfo,36.92,22,Enfermagem,Rio de Janeiro
A0000028,934.194.606-94,Alana Gregory Maio,95.38,19,Matemática,República
A0000029,355.668.221-42,Belisario Cunha Distrito,84.75,19,Medicina,Alto da Lapa
A0000030,409.261.695-30,John Carneiro Assunção,55.72,18,Farmácia,Rio Grande
A0000031,226.862.565-67,Richard Morse Marcos,43.98,19,Fisioterapia,Móoca
A0000032,597.748.000-87,Beethoven Batista Branco,65.71,24,Design de Moda,Rio de Janeiro
A0000033,948.838.359-36,Franklin Mendes Wood,54.06,20,Zootecnia,Pancas
